sample_id,hour,block_num,read_num,timestamp_iso,temp_c,hum_pct,MQ-137 (Ammonia),MQ-135 (Air Quality),MQ-4 (Methane),MQ-7 (CO),AS7265X_ch1,AS7265X_ch2,AS7265X_ch3,AS7265X_ch4,AS7265X_ch5,AS7265X_ch6,AS7265X_ch7,AS7265X_ch8,AS7265X_ch9,AS7265X_ch10,AS7265X_ch11,AS7265X_ch12,AS7265X_ch13,AS7265X_ch14,AS7265X_ch15,AS7265X_ch16,AS7265X_ch17,AS7265X_ch18
BRE_RT_01,0,1,1,2025-11-02T02:49:40.784074,32.2,72.3,1.176,0.077,0.067,0.17,12.696920394897461,111.75554656982422,374.7492980957031,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,171.120361328125,35.956451416015625,48.523590087890625,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,1,2,2025-11-02T02:49:45.215244,32.2,72.3,1.179,0.077,0.067,0.171,12.696920394897461,111.75554656982422,374.7492980957031,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,1,3,2025-11-02T02:49:49.601259,32.2,72.3,1.182,0.077,0.067,0.17,12.696920394897461,111.75554656982422,374.7492980957031,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,1,4,2025-11-02T02:49:53.980494,32.2,72.3,1.177,0.077,0.067,0.171,12.696920394897461,111.75554656982422,374.7492980957031,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,1,5,2025-11-02T02:49:58.391247,32.2,72.3,1.181,0.077,0.067,0.17,12.696920394897461,111.75554656982422,374.7492980957031,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,2,1,2025-11-02T02:50:06.872910,32.2,72.3,1.182,0.077,0.067,0.17,12.696920394897461,111.75554656982422,374.7492980957031,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,2,2,2025-11-02T02:50:11.265002,32.2,72.3,1.178,0.077,0.067,0.17,12.696920394897461,111.75554656982422,373.81939697265625,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,2,3,2025-11-02T02:50:15.664540,32.2,72.3,1.175,0.077,0.067,0.171,12.696920394897461,111.75554656982422,373.81939697265625,117.42170715332031,106.50019073486328,112.062744140625,70.79906463623047,71.43772888183594,171.120361328125,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,2,4,2025-11-02T02:50:20.073397,32.2,72.3,1.177,0.077,0.067,0.171,12.696920394897461,111.75554656982422,373.81939697265625,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,48.523590087890625,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,2,5,2025-11-02T02:50:24.483780,32.2,72.3,1.183,0.077,0.067,0.171,12.696920394897461,111.75554656982422,373.81939697265625,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,3.608996868133545
BRE_RT_01,0,3,1,2025-11-02T02:50:32.966442,32.3,72.3,1.181,0.077,0.067,0.171,12.696920394897461,111.75554656982422,373.81939697265625,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,48.523590087890625,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
BRE_RT_01,0,3,2,2025-11-02T02:50:37.390777,32.3,72.3,1.176,0.077,0.066,0.17,12.696920394897461,111.75554656982422,373.81939697265625,117.42170715332031,106.50019073486328,112.062744140625,71.30118560791016,71.90770721435547,172.29241943359375,35.956451416015625,46.45875549316406,7.547349452972412,9.653761863708496,6.647078037261963,11.513254165649414,11.253639221191406,1.8258919715881348,2.7067477703094482
