sample_id,scan_iter,temp,hum,mq_137,mq_135,mq_4,mq_3,as7265x_ch1,as7265x_ch2,as7265x_ch3,as7265x_ch4,as7265x_ch5,as7265x_ch6,as7265x_ch7,as7265x_ch8,as7265x_ch9,as7265x_ch10,as7265x_ch11,as7265x_ch12,as7265x_ch13,as7265x_ch14,as7265x_ch15,as7265x_ch16,as7265x_ch17,as7265x_ch18
PS-WG_0001,2,31.3,73.4,1.668,0.192,0.2,0.783,2.539384126663208,29.359508514404297,50.21454620361328,19.423139572143555,35.74321746826172,43.73180389404297,37.15695571899414,47.46849060058594,139.4748077392578,41.87868881225586,45.42634201049805,12.314096450805664,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725
PS-WG_0001,3,31.3,74.1,1.737,0.194,0.2,0.789,2.539384126663208,29.359508514404297,50.21454620361328,19.423139572143555,35.74321746826172,43.73180389404297,37.15695571899414,47.46849060058594,139.4748077392578,41.45567321777344,45.42634201049805,12.314096450805664,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,1.2172613143920898,1.8044984340667725
PS-WG_0001,4,31.4,74.3,1.796,0.195,0.201,0.8,2.539384126663208,29.359508514404297,50.21454620361328,19.423139572143555,35.74321746826172,43.73180389404297,37.15695571899414,47.46849060058594,139.4748077392578,41.45567321777344,45.42634201049805,12.314096450805664,10.45824146270752,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725
PS-WG_0001,5,31.4,74.5,1.849,0.196,0.202,0.809,2.539384126663208,29.359508514404297,50.21454620361328,19.423139572143555,35.74321746826172,43.73180389404297,37.15695571899414,47.46849060058594,139.4748077392578,41.45567321777344,43.361507415771484,12.314096450805664,10.45824146270752,5.816193103790283,6.199444770812988,3.376091957092285,1.2172613143920898,1.8044984340667725
PS-WG_0002,1,31.4,72.6,1.625,0.189,0.2,0.788,1.6929227113723755,50.195289611816406,44.63515090942383,9.711569786071777,24.801414489746094,34.84878158569336,21.089082717895508,24.90920639038086,53.914634704589844,8.883358001708984,12.389001846313477,3.9722893238067627,3.2179205417633057,1.6617695093154907,2.656904935836792,1.1253639459609985,0.6086306571960449,0.9022492170333862
PS-WG_0002,2,31.4,72.5,1.583,0.189,0.199,0.782,1.6929227113723755,49.248207092285156,44.63515090942383,9.711569786071777,24.801414489746094,34.165470123291016,21.089082717895508,24.90920639038086,53.914634704589844,8.883358001708984,13.421419143676758,3.9722893238067627,3.2179205417633057,1.6617695093154907,2.656904935836792,1.1253639459609985,0.6086306571960449,0.9022492170333862
PS-WG_0002,3,31.4,72.4,1.557,0.189,0.199,0.781,1.6929227113723755,49.248207092285156,44.63515090942383,9.711569786071777,24.801414489746094,34.165470123291016,21.089082717895508,24.43922233581543,53.914634704589844,8.883358001708984,13.421419143676758,3.9722893238067627,3.2179205417633057,1.6617695093154907,2.656904935836792,1.1253639459609985,0.6086306571960449,0.9022492170333862
PS-WG_0002,4,31.5,72.3,1.542,0.192,0.199,0.776,1.6929227113723755,49.248207092285156,44.63515090942383,9.711569786071777,24.801414489746094,34.165470123291016,21.089082717895508,24.43922233581543,53.914634704589844,8.883358001708984,13.421419143676758,3.9722893238067627,3.2179205417633057,2.492654323577881,2.656904935836792,1.1253639459609985,0.6086306571960449,0.9022492170333862
PS-WG_0002,5,31.5,72.2,1.524,0.191,0.199,0.773,1.6929227113723755,49.248207092285156,44.63515090942383,9.711569786071777,24.801414489746094,34.165470123291016,21.089082717895508,24.90920639038086,53.914634704589844,8.883358001708984,12.389001846313477,3.9722893238067627,3.2179205417633057,2.492654323577881,2.656904935836792,1.1253639459609985,0.6086306571960449,0.9022492170333862
PS-WG_0003,1,32.6,68.0,1.531,0.192,0.201,0.767,2.539384126663208,26.518264770507812,47.42484664916992,18.54026985168457,33.55485534667969,43.04849624633789,36.65483474731445,44.178592681884766,133.61453247070312,38.49455261230469,47.491172790527344,12.314096450805664,9.653761863708496,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,0.9022492170333862
PS-WG_0003,2,32.6,68.9,1.579,0.192,0.201,0.782,2.539384126663208,26.518264770507812,48.3547477722168,18.54026985168457,33.55485534667969,43.04849624633789,36.65483474731445,44.64857864379883,133.61453247070312,38.49455261230469,45.42634201049805,12.711325645446777,9.653761863708496,5.816193103790283,6.199444770812988,3.376091957092285,0.6086306571960449,0.9022492170333862
PS-WG_0003,3,32.6,69.5,1.649,0.193,0.201,0.793,2.539384126663208,26.518264770507812,48.3547477722168,18.54026985168457,33.55485534667969,43.04849624633789,36.65483474731445,44.64857864379883,133.61453247070312,38.49455261230469,45.42634201049805,12.711325645446777,9.653761863708496,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,0.9022492170333862
PS-WG_0003,4,32.6,69.6,1.701,0.193,0.202,0.798,2.539384126663208,26.518264770507812,48.3547477722168,18.54026985168457,33.55485534667969,43.04849624633789,36.65483474731445,44.64857864379883,133.61453247070312,38.49455261230469,45.42634201049805,12.711325645446777,9.653761863708496,5.816193103790283,6.199444770812988,3.376091957092285,0.6086306571960449,0.9022492170333862
PS-WG_0003,5,32.6,69.7,1.744,0.194,0.202,0.805,2.539384126663208,26.518264770507812,48.3547477722168,18.54026985168457,33.55485534667969,43.04849624633789,36.65483474731445,44.64857864379883,133.61453247070312,38.49455261230469,47.491172790527344,12.711325645446777,9.653761863708496,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,0.9022492170333862
PS-WG_0004,1,32.3,68.6,1.687,0.192,0.202,0.868,2.539384126663208,30.306589126586914,50.21454620361328,19.423139572143555,35.013763427734375,42.36518478393555,34.144229888916016,44.64857864379883,133.61453247070312,38.49455261230469,42.3290901184082,11.916868209838867,9.653761863708496,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725
PS-WG_0004,2,32.3,69.4,1.699,0.193,0.202,0.874,2.539384126663208,30.306589126586914,50.21454620361328,19.423139572143555,35.013763427734375,42.36518478393555,34.144229888916016,44.64857864379883,133.61453247070312,38.91756820678711,42.3290901184082,11.916868209838867,9.653761863708496,5.816193103790283,5.313809871673584,3.376091957092285,0.6086306571960449,1.8044984340667725
