sample_id,meat_type,storage_type,hour,timestamp_iso,temp_c,hum_pct,frozen_age_days,thaw_method,time_since_thaw_min,mq137_rs_ro,mq135_rs_ro,mq4_rs_ro,mq3_rs_ro,as_reflectance_ch1,as_reflectance_ch2,as_reflectance_ch3,as_reflectance_ch4,as_reflectance_ch5,as_reflectance_ch6,as_reflectance_ch7,as_reflectance_ch8,as_reflectance_ch9,as_reflectance_ch10,as_reflectance_ch11,as_reflectance_ch12,as_reflectance_ch13,as_reflectance_ch14,as_reflectance_ch15,as_reflectance_ch16,as_reflectance_ch17,as_reflectance_ch18,avg_valid,cv_flag,final_label,ground_truth_value
WNG_CH_01,Wing,Chilled,0,2025-11-12T03:33:27.589498,31.453333333333333,65.96666666666667,NaN,NaN,NaN,0.9338269054178145,0.9626644039032667,0.93204330799355,0.9111660366385577,0.2857142828401526,0.2323232360439143,0.3514644372650511,0.3438596799677961,0.34482756009034604,0.345269292999444,0.32298852120443566,0.4014897880932309,0.6521164088133201,0.64027775990389,0.7919678679102727,0.6610169588082307,0.583333325101013,0.5333333409852115,0.44444444776798,0.44444442875117923,0.4,0.39999998943003473,True,OK,Fresh,Fresh
THI_CH_01,Thigh,Chilled,0,2025-11-12T03:37:52.564267,30.546666666666667,63.6,NaN,NaN,NaN,0.8732782369146006,0.9393296563428084,0.9590724103509176,0.914946205292236,0.4285714343196948,0.2129870123373876,0.2596931606213285,0.4078947535799378,0.37931034855852197,0.2765647843172972,0.29578545844581,0.44283056200855814,0.6626984270489512,0.8086805285164077,0.7148594324947677,0.7457627394520878,0.7083333374494934,0.6666666666666666,0.5,0.5555555241690251,0.4,0.41333332417269675,True,OK,Fresh,Fresh
THI_CH_02,Thigh,Chilled,0,2025-11-12T03:46:18.412657,29.346666666666668,68.26666666666667,NaN,NaN,NaN,0.9165518824609734,0.9516334323292319,0.9560009214466713,0.8729281767955802,0.2952380942800509,0.18152957996393868,0.2658298532188946,0.3815789699037152,0.3765517254810679,0.29927219742277533,0.4829501930597346,0.5353817757131394,0.7275132370802532,0.8663194237329138,0.40321285283589087,0.5762711781643737,0.7083333374494934,0.5466666773792961,0.5,0.3333333333333333,0.4,0.39999998943003473,True,OK,Fresh,Fresh
WNG_RT_01,Wing,Room,0,2025-11-12T06:34:55.074348,30.533333333333335,83.6,NaN,NaN,NaN,1.0118317890235209,0.9640824337585869,0.9726520030107888,0.9645551080190407,0.384615394615327,0.37595127746531,0.40434782554412296,0.47117117793720315,0.5232613843010958,0.4333333401622985,0.5069444438163717,0.5537572375288832,0.7717421555783025,0.6235294276501628,0.6316666812923906,0.7192982973398768,0.6376811773477638,0.5761904949297698,0.592156867713151,0.44444442875117923,0.4,0.39999998943003473,True,OK,Fresh,Fresh
WNG_RT_02,Wing,Room,0,2025-11-12T06:39:31.484672,31.046666666666667,82.38666666666667,NaN,NaN,NaN,0.9983368971252079,0.9511285574092248,0.9467257673329431,0.9435371658733065,0.384615394615327,0.3424657545584107,0.3826087156594679,0.4693693804356782,0.4839328392093545,0.38256880677559,0.42797619699020134,0.4633911553694516,0.7009602630592315,0.6014260393623772,0.7300000138559489,0.7298245953947762,0.6521739220072151,0.6380952720602079,0.5882353015697265,0.5555555241690251,0.4,0.39999998943003473,True,OK,Fresh,Fresh
THI_RT_01,Thigh,Room,0,2025-11-12T06:44:14.602063,31.46,82.36666666666667,NaN,NaN,NaN,0.9927773818009028,0.946810598626104,0.918625073178891,0.9097766385939215,0.4615384648717757,0.42891932923032383,0.6463768414758978,0.502702710119694,0.5323740923287933,0.4685015379171123,0.2611111101061948,0.3737957704352722,0.6419753079805512,0.6552584900089478,0.8591666939936771,0.684210552917651,0.7043478646310254,0.7142857259977728,0.5294117460756838,0.5481481178078353,0.4,0.6000000105699653,True,OK,Fresh,Fresh
BRE_RT_01,Breast,Room,0,2025-11-12T06:53:14.630113,31.88,82.12,NaN,NaN,NaN,1.0017581373247801,0.9479882237487733,0.9321736221460232,0.8699377517392897,0.31282050882053586,0.20547944422874817,0.41304349803552065,0.5270270756517176,0.4388489408925579,0.37584096999441463,0.4430555607057515,0.5982659019200769,0.9020576468572541,0.9155080309835398,1.0,0.8818713755721177,0.6956522075270569,0.7142857259977728,0.6313725291473959,0.5555555241690251,0.4,0.39999998943003473,True,OK,Fresh,Fresh
BRE_RT_02,Breast,Room,0,2025-11-12T06:58:02.091196,31.973333333333333,81.53333333333333,NaN,NaN,NaN,0.9893086243763365,0.9334641805691855,0.9412059881241114,0.8244599047967777,0.23076923243588784,0.16103499883915948,0.26956522297473523,0.39189191270286494,0.38848922081304194,0.2844036694898292,0.38690477213337404,0.47687861407274473,0.7517147057143785,0.683422482896015,0.7716666566595924,0.7719298718536016,0.6521739220072151,0.6380952720602079,0.5294117460756838,0.48888886691831757,0.4,0.39999998943003473,True,OK,Fresh,Fresh
THI_RT_02,Thigh,Room,0,2025-11-12T07:02:11.776367,32.02,81.15333333333334,NaN,NaN,NaN,0.9958184842005227,0.9318940137389597,0.9042401940286025,0.8025631636763091,0.384615394615327,0.3789954225993904,0.5968115796187702,0.5810811174756263,0.6110311649551059,0.5412844238746907,0.5533730110458287,0.5905587576386689,0.9533608403442924,0.7083779306190715,0.9899999953813503,0.9649123398170021,0.7391304930468987,0.785714314994432,0.7058823492151367,0.592592571668239,0.6,0.6000000105699653,True,OK,Fresh,Fresh
WNG_RT_01,Wing,Room,0,2025-11-12T07:06:30.602327,32.1,79.58666666666666,NaN,NaN,NaN,0.9994297933000712,0.9315014720314033,0.9403696579409551,0.778615891614793,0.23076923243588784,0.19634702721850325,0.2956521691050891,0.36486489179091053,0.4532374054706286,0.40825688989666203,0.43551587884797643,0.44219651172337754,0.6543209962528332,0.475579333916133,0.6216666766737409,0.6350877528461487,0.6086956880288608,0.6428571779933184,0.5882353015697265,0.44444442875117923,0.4,0.39999998943003473,True,OK,Fresh,Fresh
