sample_id,meat_type,storage_type,hour,timestamp_iso,temp_c,hum_pct,frozen_age_days,thaw_method,time_since_thaw_min,mq137_v_rs,mq135_v_rs,mq4_v_rs,mq3_v_rs,as_raw_ch1,as_raw_ch2,as_raw_ch3,as_raw_ch4,as_raw_ch5,as_raw_ch6,as_raw_ch7,as_raw_ch8,as_raw_ch9,as_raw_ch10,as_raw_ch11,as_raw_ch12,as_raw_ch13,as_raw_ch14,as_raw_ch15,as_raw_ch16,as_raw_ch17,as_raw_ch18,avg_valid,cv_flag,final_label,ground_truth_value
NaN,Wing,NaN,0,2025-11-16T19:20:09.440008,31.9,71.9,NaN,NaN,NaN,1.216,0.161,0.336,0.634,5.925229549407959,111.75554656982422,144.13433837890625,44.143497467041016,70.02752685546875,79.94720458984375,69.2927017211914,87.4172134399414,228.55116271972656,63.029541015625,52.65325927734375,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:20:18.221367,31.9,72.1,NaN,NaN,NaN,1.3,0.163,0.339,0.642,5.925229549407959,111.75554656982422,144.13433837890625,44.143497467041016,70.02752685546875,79.94720458984375,69.7948226928711,87.4172134399414,228.55116271972656,63.029541015625,50.58842468261719,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:20:27.027560,31.9,72.4,NaN,NaN,NaN,1.354,0.163,0.339,0.651,5.925229549407959,111.75554656982422,144.13433837890625,44.143497467041016,69.2980728149414,79.2638931274414,69.2927017211914,87.4172134399414,227.3791046142578,63.029541015625,50.58842468261719,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:20:35.795421,32.0,72.7,NaN,NaN,NaN,1.389,0.164,0.348,0.661,5.925229549407959,110.80846405029297,144.13433837890625,43.26062774658203,69.2980728149414,79.2638931274414,69.2927017211914,87.4172134399414,226.20704650878906,63.029541015625,50.58842468261719,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:20:44.593550,32.0,72.5,NaN,NaN,NaN,1.417,0.164,0.348,0.673,5.925229549407959,111.75554656982422,144.13433837890625,43.26062774658203,69.2980728149414,79.2638931274414,69.2927017211914,87.4172134399414,226.20704650878906,62.60652542114258,52.65325927734375,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:20:53.372533,32.1,72.6,NaN,NaN,NaN,1.414,0.164,0.348,0.683,5.925229549407959,110.80846405029297,144.13433837890625,43.26062774658203,69.2980728149414,79.2638931274414,69.2927017211914,87.4172134399414,226.20704650878906,63.029541015625,50.58842468261719,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:21:02.168038,32.1,72.7,NaN,NaN,NaN,1.419,0.164,0.345,0.691,5.925229549407959,110.80846405029297,144.13433837890625,43.26062774658203,69.2980728149414,79.2638931274414,69.2927017211914,86.94723510742188,226.20704650878906,62.60652542114258,49.556007385253906,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:21:10.974727,32.1,72.8,NaN,NaN,NaN,1.415,0.165,0.345,0.701,5.925229549407959,110.80846405029297,145.06423950195312,43.26062774658203,69.2980728149414,79.2638931274414,69.2927017211914,86.94723510742188,226.20704650878906,62.60652542114258,50.58842468261719,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:21:19.747932,32.1,72.8,NaN,NaN,NaN,1.432,0.165,0.343,0.705,5.925229549407959,111.75554656982422,145.06423950195312,44.143497467041016,69.2980728149414,79.2638931274414,69.2927017211914,86.94723510742188,225.03500366210938,62.60652542114258,52.65325927734375,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:21:28.509559,32.1,73.1,NaN,NaN,NaN,1.452,0.165,0.345,0.715,5.925229549407959,111.75554656982422,145.06423950195312,43.26062774658203,69.2980728149414,79.2638931274414,69.2927017211914,86.94723510742188,225.03500366210938,63.029541015625,49.556007385253906,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:21:37.290559,32.2,73.1,NaN,NaN,NaN,1.457,0.165,0.348,0.716,5.925229549407959,110.80846405029297,145.06423950195312,43.26062774658203,69.2980728149414,79.2638931274414,69.2927017211914,86.94723510742188,225.03500366210938,62.60652542114258,50.58842468261719,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-16T19:21:46.067051,32.2,73.0,NaN,NaN,NaN,1.47,0.167,0.345,0.719,5.925229549407959,110.80846405029297,144.13433837890625,43.26062774658203,69.2980728149414,79.2638931274414,68.79058074951172,86.94723510742188,225.03500366210938,62.60652542114258,49.556007385253906,15.88915729522705,14.480642318725586,8.308847427368164,8.85634994506836,4.501455783843994,1.8258919715881348,2.7067477703094482,False,N/A,RAW_5_SEC,N/A
