sample_id,hour,timestamp_iso,led_source,temp_c,hum_pct,MQ-137 (Ammonia),MQ-135 (Air Quality),MQ-4 (Methane),MQ-3 (Alcohol),AS7265X_ch1,AS7265X_ch2,AS7265X_ch3,AS7265X_ch4,AS7265X_ch5,AS7265X_ch6,AS7265X_ch7,AS7265X_ch8,AS7265X_ch9,AS7265X_ch10,AS7265X_ch11,AS7265X_ch12,AS7265X_ch13,AS7265X_ch14,AS7265X_ch15,AS7265X_ch16,AS7265X_ch17,AS7265X_ch18,final_label
WNG_CH_01,0,2025-11-12T03:30:17.539198,WHITE,31.8,71.5,1.131,0.151,0.411,0.422,3.385845422744751,52.08945083618164,84.62080383300781,24.720359802246094,36.4726676940918,53.29813766479492,56.23755645751953,67.2078628540039,192.21739196777344,52.031097412109375,66.07467651367188,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:30:30.833164,WHITE,31.7,68.4,1.104,0.15,0.415,0.421,3.385845422744751,52.08945083618164,84.62080383300781,24.720359802246094,36.4726676940918,53.9814453125,56.23755645751953,67.2078628540039,192.21739196777344,52.031097412109375,66.07467651367188,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:30:44.113697,WHITE,31.7,67.5,1.096,0.151,0.42,0.417,3.385845422744751,52.08945083618164,84.62080383300781,24.720359802246094,36.4726676940918,53.29813766479492,56.23755645751953,67.2078628540039,192.21739196777344,51.60808181762695,69.17192840576172,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:30:57.412823,WHITE,31.6,66.6,1.103,0.15,0.401,0.42,3.385845422744751,52.08945083618164,85.55070495605469,24.720359802246094,36.4726676940918,53.9814453125,56.23755645751953,67.2078628540039,192.21739196777344,52.031097412109375,69.17192840576172,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:31:10.717474,WHITE,31.6,65.7,1.076,0.149,0.382,0.415,3.385845422744751,52.08945083618164,85.55070495605469,24.720359802246094,36.4726676940918,53.9814453125,56.23755645751953,67.67784881591797,192.21739196777344,52.031097412109375,66.07467651367188,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:31:25.992983,WHITE,31.5,65.0,1.077,0.151,0.382,0.413,3.385845422744751,53.036529541015625,85.55070495605469,24.720359802246094,36.4726676940918,53.9814453125,56.23755645751953,67.67784881591797,192.21739196777344,52.031097412109375,67.10709381103516,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:31:39.273487,WHITE,31.5,65.1,1.092,0.153,0.389,0.409,3.385845422744751,53.036529541015625,85.55070495605469,24.720359802246094,36.4726676940918,53.9814453125,56.23755645751953,67.67784881591797,192.21739196777344,52.031097412109375,67.10709381103516,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:31:52.576652,WHITE,31.4,64.6,1.078,0.151,0.388,0.412,3.385845422744751,53.036529541015625,85.55070495605469,24.720359802246094,36.4726676940918,53.9814453125,56.23755645751953,67.67784881591797,192.21739196777344,52.031097412109375,67.10709381103516,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:32:05.823901,WHITE,31.4,64.7,1.083,0.152,0.371,0.416,3.385845422744751,53.036529541015625,85.55070495605469,24.720359802246094,36.4726676940918,53.9814453125,56.23755645751953,67.67784881591797,192.21739196777344,52.031097412109375,69.17192840576172,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
WNG_CH_01,0,2025-11-12T03:32:19.118540,WHITE,31.4,64.8,1.075,0.152,0.366,0.419,3.385845422744751,53.036529541015625,85.55070495605469,24.720359802246094,36.4726676940918,53.9814453125,56.73967742919922,67.67784881591797,192.21739196777344,52.031097412109375,67.10709381103516,15.491928100585938,11.26272201538086,6.647078037261963,7.085079669952393,4.501455783843994,1.2172613143920898,1.8044984340667725,N/A
