sample_id,meat_type,storage_type,hour,timestamp_iso,temp_c,hum_pct,frozen_age_days,thaw_method,time_since_thaw_min,mq137_v_rs,mq135_v_rs,mq4_v_rs,mq3_v_rs,as_raw_ch1,as_raw_ch2,as_raw_ch3,as_raw_ch4,as_raw_ch5,as_raw_ch6,as_raw_ch7,as_raw_ch8,as_raw_ch9,as_raw_ch10,as_raw_ch11,as_raw_ch12,as_raw_ch13,as_raw_ch14,as_raw_ch15,as_raw_ch16,as_raw_ch17,as_raw_ch18,avg_valid,cv_flag,final_label,ground_truth_value
NaN,Wing,NaN,0,2025-11-17T09:34:16.452130,31.5,78.1,NaN,NaN,NaN,1.358,0.168,0.304,0.775,3.385845423,50.19528961,115.3074722,29.1347084,45.95556259,62.18115997,51.21634674,72.37769318,192.217392,58.37635422,62.97742462,14.30024147,12.06720161,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:34:25.236989,31.5,77.4,NaN,NaN,NaN,1.362,0.167,0.304,0.76,3.385845423,50.19528961,115.3074722,29.1347084,45.95556259,62.86446762,52.22058868,72.84767914,194.5615082,59.22238922,64.00984192,14.30024147,12.06720161,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:34:34.062895,31.6,77.1,NaN,NaN,NaN,1.371,0.167,0.303,0.77,3.385845423,50.19528961,115.3074722,29.1347084,45.95556259,62.18115997,51.71846771,72.84767914,194.5615082,59.22238922,67.10709381,14.30024147,12.06720161,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:34:42.899437,31.6,77.1,NaN,NaN,NaN,1.368,0.168,0.303,0.767,3.385845423,50.19528961,115.3074722,29.1347084,45.95556259,62.18115997,51.71846771,72.84767914,194.5615082,59.22238922,64.00984192,14.30024147,12.06720161,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:34:51.723590,31.7,77.3,NaN,NaN,NaN,1.363,0.167,0.303,0.771,3.385845423,50.19528961,114.3775711,29.1347084,45.95556259,62.18115997,51.71846771,72.84767914,193.3894501,59.22238922,64.00984192,14.30024147,12.06720161,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:35:00.532705,31.7,77.5,NaN,NaN,NaN,1.365,0.167,0.303,0.772,3.385845423,49.24820709,114.3775711,28.25183868,45.22610855,61.49784851,51.71846771,72.84767914,193.3894501,58.79936981,66.07467651,14.30024147,12.06720161,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:35:09.342633,31.7,77.1,NaN,NaN,NaN,1.371,0.167,0.303,0.768,3.385845423,48.30112457,111.5878754,28.25183868,43.03775024,60.1312294,51.21634674,72.37769318,192.217392,58.37635422,64.00984192,14.30024147,11.26272202,6.647078037,7.08507967,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:35:18.125796,31.8,77,NaN,NaN,NaN,1.373,0.167,0.304,0.772,3.385845423,48.30112457,113.4476776,28.25183868,44.49665833,60.81454086,50.71422577,71.43772888,189.8732758,57.95333481,65.04225922,14.30024147,11.26272202,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:35:26.905579,31.8,77.1,NaN,NaN,NaN,1.371,0.167,0.304,0.771,3.385845423,48.30112457,113.4476776,28.25183868,44.49665833,60.1312294,50.71422577,71.43772888,191.0453339,57.95333481,62.97742462,14.30024147,11.26272202,7.477962971,7.08507967,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:35:35.679330,31.8,77.1,NaN,NaN,NaN,1.37,0.167,0.304,0.775,3.385845423,48.30112457,113.4476776,28.25183868,44.49665833,60.1312294,50.71422577,71.43772888,189.8732758,57.95333481,62.97742462,14.30024147,11.26272202,7.477962971,7.08507967,4.501455784,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:35:44.460707,31.9,77.3,NaN,NaN,NaN,1.376,0.167,0.304,0.773,3.385845423,48.30112457,113.4476776,28.25183868,44.49665833,60.1312294,50.71422577,71.43772888,189.8732758,57.95333481,62.97742462,14.30024147,11.26272202,7.477962971,7.08507967,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
NaN,Wing,NaN,0,2025-11-17T09:35:53.278258,31.9,77.1,NaN,NaN,NaN,1.385,0.167,0.303,0.769,3.385845423,48.30112457,112.5177765,28.25183868,43.76720428,60.1312294,50.71422577,71.43772888,189.8732758,57.95333481,62.97742462,14.30024147,11.26272202,7.477962971,7.08507967,3.376091957,1.217261314,1.804498434,FALSE,N/A,RAW_5_SEC,N/A
